Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",1,'LVL1,1,1,12,0.00%,20.63,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",1,'LVL1,1,13,72,0.00%,18.33,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",1,'LVL1,1,73,0,0.00%,1.43,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",2,'LVL2,1,1,12,0.00%,21.77,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",2,'LVL2,1,13,72,0.00%,18.33,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",2,'LVL2,1,73,0,0.00%,1.43,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",3,'LVL3,1,1,12,0.00%,22.92,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",3,'LVL3,1,13,72,0.00%,18.33,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",3,'LVL3,1,73,0,0.00%,1.43,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",4,'LVL4,1,1,12,0.00%,24.06,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",4,'LVL4,1,13,0,0.00%,18.33,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",4,'LVL4,1,73,0,0.00%,1.43,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",5,'LVL5,1,1,12,0.00%,24.64,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",5,'LVL5,1,13,0,0.00%,18.33,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",5,'LVL5,1,73,0,0.00%,1.43,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",8,'SUBAGT2,1,1,12,0.00%,0.00,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",8,'SUBAGT2,1,13,72,0.00%,0.00,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",8,'SUBAGT2,1,73,0,0.00%,0.00,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",9,'Agency,1,1,12,0.00%,27.50,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",9,'Agency,1,13,72,0.00%,27.50,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",9,'Agency,1,73,0,0.00%,3.33,N,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",10,'Sales Leader,1,1,12,0.00%,1.72,Y,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",10,'Sales Leader,1,13,72,0.00%,0.86,Y,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",10,'Sales Leader,1,73,0,0.00%,0.02,Y,,,,
1057,"Highmark MS 2026 DE, WV & PA - NW, C, NE Plan ABDN 65+",14,'LVL 1 SL,1,1,12,0.00%,4.58,N,,,,
