Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
513,Highmark 2025 PDP,1,'LVL1,0,1,1,68.97%,$0.00 ,N
513,Highmark 2025 PDP,1,'LVL1,0,2,2,65.00%,$0.00 ,N
513,Highmark 2025 PDP,1,'LVL1,0,13,0,65.00%,$0.00 ,N
513,Highmark 2025 PDP,1,'SUBAGT3,1,1,0,17.24%,$0.00 ,N
513,Highmark 2025 PDP,1,'SUBAGT3,1,2,2,16.25%,$0.00 ,N
513,Highmark 2025 PDP,1,'SUBAGT3,1,13,0,16.25%,$0.00 ,N
513,Highmark 2025 PDP,2,'LVL2,0,1,1,68.97%,$0.00 ,N
513,Highmark 2025 PDP,2,'LVL2,0,2,2,65.00%,$0.00 ,N
513,Highmark 2025 PDP,2,'LVL2,0,13,0,65.00%,$0.00 ,N
513,Highmark 2025 PDP,3,'LVL3,0,1,1,68.97%,$0.00 ,N
513,Highmark 2025 PDP,3,'LVL3,0,2,2,65.00%,$0.00 ,N
513,Highmark 2025 PDP,3,'LVL3,0,13,0,65.00%,$0.00 ,N
513,Highmark 2025 PDP,4,'LVL4,0,1,1,68.97%,$0.00 ,N
513,Highmark 2025 PDP,4,'LVL4,0,2,2,65.00%,$0.00 ,N
513,Highmark 2025 PDP,4,'LVL4,0,13,0,65.00%,$0.00 ,N
513,Highmark 2025 PDP,5,'LVL5,0,1,1,68.97%,$0.00 ,N
513,Highmark 2025 PDP,5,'LVL5,0,2,2,65.00%,$0.00 ,N
513,Highmark 2025 PDP,5,'LVL5,0,13,0,65.00%,$0.00 ,N
513,Highmark 2025 PDP,6,'STREET,0,1,1,0.00%,$0.00 ,Y
513,Highmark 2025 PDP,6,'STREET,0,2,2,0.00%,$0.00 ,Y
513,Highmark 2025 PDP,6,'STREET,0,13,0,0.00%,$0.00 ,Y
513,Highmark 2025 PDP,7,'SUBAGT1,0,1,1,34.49%,$0.00 ,N
513,Highmark 2025 PDP,7,'SUBAGT1,0,2,2,32.50%,$0.00 ,N
513,Highmark 2025 PDP,7,'SUBAGT1,0,13,0,32.50%,$0.00 ,N
513,Highmark 2025 PDP,8,'SUBAGT2,0,1,1,0.00%,$0.00 ,Y
513,Highmark 2025 PDP,8,'SUBAGT2,0,2,2,0.00%,$0.00 ,Y
513,Highmark 2025 PDP,8,'SUBAGT2,0,13,0,0.00%,$0.00 ,Y
513,Highmark 2025 PDP,9,'AGENCY,1,1,1,100.00%,$0.00 ,N
513,Highmark 2025 PDP,9,'AGENCY,1,2,2,100.00%,$0.00 ,N
513,Highmark 2025 PDP,9,'AGENCY,1,13,0,100.00%,$0.00 ,N
513,Highmark 2025 PDP,10,'SALES LEADER,0,1,1,6.50%,$0.00 ,Y
513,Highmark 2025 PDP,10,'SALES LEADER,0,2,2,5.57%,$0.00 ,Y
513,Highmark 2025 PDP,10,'SALES LEADER,0,13,0,5.57%,$0.00 ,Y
513,Highmark 2025 PDP,16,'STREET0,0,1,1,100.00%,$0.00 ,N
513,Highmark 2025 PDP,16,'STREET0,0,2,2,100.00%,$0.00 ,N
513,Highmark 2025 PDP,16,'STREET0,0,13,0,100.00%,$0.00 ,N
