Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
447,Aetna MAPD 2025 FL* LMO,1,'LVL1,1,1,1,0.00%,$275.44,N
447,Aetna MAPD 2025 FL* LMO,1,'LVL1,1,2,12,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,1,'LVL1,1,13,0,0.00%,$22.95,N
447,Aetna MAPD 2025 FL* LMO,1,'SUBAGT3,1,1,0,0.00%,$68.86,N
447,Aetna MAPD 2025 FL* LMO,1,'SUBAGT3,1,2,2,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,1,'SUBAGT3,1,13,0,0.00%,$5.74,N
447,Aetna MAPD 2025 FL* LMO,2,'LVL2,1,1,1,0.00%,$275.44,N
447,Aetna MAPD 2025 FL* LMO,2,'LVL2,1,2,12,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,2,'LVL2,1,13,0,0.00%,$22.95,N
447,Aetna MAPD 2025 FL* LMO,3,'LVL3,1,1,1,0.00%,$275.44,N
447,Aetna MAPD 2025 FL* LMO,3,'LVL3,1,2,2,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,3,'LVL3,1,13,0,0.00%,$22.95,N
447,Aetna MAPD 2025 FL* LMO,4,'LVL4,1,1,1,0.00%,$275.44,N
447,Aetna MAPD 2025 FL* LMO,4,'LVL4,1,2,12,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,4,'LVL4,1,13,0,0.00%,$22.95,N
447,Aetna MAPD 2025 FL* LMO,5,'LVL5,1,1,1,0.00%,$275.44,N
447,Aetna MAPD 2025 FL* LMO,5,'LVL5,1,2,12,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,5,'LVL5,1,13,0,0.00%,$22.95,N
447,Aetna MAPD 2025 FL* LMO,6,'STREET,0,1,1,0.00%,$0.00,Y
447,Aetna MAPD 2025 FL* LMO,6,'STREET,0,2,2,0.00%,$0.00,Y
447,Aetna MAPD 2025 FL* LMO,6,'STREET,0,13,0,0.00%,$0.00,Y
447,Aetna MAPD 2025 FL* LMO,7,'SUBAGT1,1,1,1,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,7,'SUBAGT1,1,2,2,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,7,'SUBAGT1,1,13,0,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,8,'SUBAGT2,0,1,1,0.00%,$0.00,Y
447,Aetna MAPD 2025 FL* LMO,8,'SUBAGT2,0,2,2,0.00%,$0.00,Y
447,Aetna MAPD 2025 FL* LMO,8,'SUBAGT2,0,13,0,0.00%,$0.00,Y
447,Aetna MAPD 2025 FL* LMO,9,'Agency,1,1,1,0.00%,$358.00,N
447,Aetna MAPD 2025 FL* LMO,9,'Agency,1,2,12,0.00%,$0.00,N
447,Aetna MAPD 2025 FL* LMO,9,'Agency,1,13,0,0.00%,$29.83,N
447,Aetna MAPD 2025 FL* LMO,10,'Sales Leader,1,1,1,0.00%,$292.89,N
447,Aetna MAPD 2025 FL* LMO,10,'Sales Leader,1,2,12,0.00%,$0.00,Y
447,Aetna MAPD 2025 FL* LMO,10,'Sales Leader,1,13,0,0.00%,$24.41,N
447,Aetna MAPD 2025 FL* LMO,16,'STREET0,1,1,1,0.00%,$313.00,N
