Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
390,Wellcare MAPD 2025,1,'LVL1,0,1,1,0.00%,$582.18 ,N
390,Wellcare MAPD 2025,1,'LVL1,0,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,1,'LVL1,0,13,0,0.00%,$22.95 ,N
390,Wellcare MAPD 2025,1,'SUBAGT3,1,1,0,0.00%,$145.54 ,N
390,Wellcare MAPD 2025,1,'SUBAGT3,1,2,12,0.00%,$68.86 ,N
390,Wellcare MAPD 2025,1,'SUBAGT3,1,13,0,0.00%,$5.74 ,N
390,Wellcare MAPD 2025,2,'LVL2,0,1,1,0.00%,$582.18 ,N
390,Wellcare MAPD 2025,2,'LVL2,0,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,2,'LVL2,0,13,0,0.00%,$22.95 ,N
390,Wellcare MAPD 2025,3,'LVL3,0,1,1,0.00%,$582.18 ,N
390,Wellcare MAPD 2025,3,'LVL3,0,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,3,'LVL3,0,13,0,0.00%,$22.95 ,N
390,Wellcare MAPD 2025,4,'LVL4,0,1,1,0.00%,$582.18 ,N
390,Wellcare MAPD 2025,4,'LVL4,0,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,4,'LVL4,0,13,0,0.00%,$22.95 ,N
390,Wellcare MAPD 2025,5,'LVL5,0,1,1,0.00%,$582.18 ,N
390,Wellcare MAPD 2025,5,'LVL5,0,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,5,'LVL5,0,13,0,0.00%,$22.95 ,N
390,Wellcare MAPD 2025,6,'STREET,0,1,1,0.00%,$0.00 ,Y
390,Wellcare MAPD 2025,6,'STREET,0,2,12,0.00%,$0.00 ,Y
390,Wellcare MAPD 2025,6,'STREET,0,13,0,0.00%,$0.00 ,Y
390,Wellcare MAPD 2025,7,'SUBAGT1,0,1,1,0.00%,$291.09 ,N
390,Wellcare MAPD 2025,7,'SUBAGT1,0,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,7,'SUBAGT1,0,13,0,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,8,'SUBAGT2,0,1,1,0.00%,$0.00 ,Y
390,Wellcare MAPD 2025,8,'SUBAGT2,0,2,12,0.00%,$0.00 ,Y
390,Wellcare MAPD 2025,8,'SUBAGT2,0,13,0,0.00%,$0.00 ,Y
390,Wellcare MAPD 2025,9,'AGENCY,1,1,1,0.00%,$626.00 ,N
390,Wellcare MAPD 2025,9,'AGENCY,1,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,9,'AGENCY,1,13,0,0.00%,$26.08 ,N
390,Wellcare MAPD 2025,10,'Sales Leader,1,1,1,0.00%,$626.00 ,N
390,Wellcare MAPD 2025,10,'Sales Leader,1,2,12,0.00%,$0.00 ,Y
390,Wellcare MAPD 2025,10,'Sales Leader,1,13,0,0.00%,$330.45 ,N
390,Wellcare MAPD 2025,16,'STREET0,0,1,1,0.00%,$626.00 ,N
390,Wellcare MAPD 2025,16,'STREET0,0,2,12,0.00%,$0.00 ,N
390,Wellcare MAPD 2025,16,'STREET0,0,13,0,0.00%,$26.08 ,N
