Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
36,FEX Level Ages 45-80,9,'Agency,1,1,12,135.00%,$0.00 ,N
36,FEX Level Ages 45-80,9,'Agency,1,13,13,4.00%,$0.00 ,N
36,FEX Level Ages 45-80,9,'Agency,1,14,60,7.00%,$0.00 ,N
36,FEX Level Ages 45-80,9,'Agency,1,61,120,5.00%,$0.00 ,N
36,FEX Level Ages 45-80,9,'Agency,1,121,0,0.00%,$0.00 ,N
36,FEX Level Ages 45-80,1,'LVL1,1,1,12,77.63%,$0.00 ,N
36,FEX Level Ages 45-80,1,'LVL1,1,13,13,77.63%,$0.00 ,N
36,FEX Level Ages 45-80,1,'LVL1,1,14,60,2.00%,$0.00 ,N
36,FEX Level Ages 45-80,1,'LVL1,1,61,120,1.33%,$0.00 ,N
36,FEX Level Ages 45-80,1,'LVL1,1,121,0,0.00%,$0.00 ,N
36,FEX Level Ages 45-80,3,'LVL3,1,1,12,96.43%,$0.00 ,N
36,FEX Level Ages 45-80,3,'LVL3,1,13,13,96.43%,$0.00 ,N
36,FEX Level Ages 45-80,3,'LVL3,1,14,60,3.00%,$0.00 ,N
36,FEX Level Ages 45-80,3,'LVL3,1,61,120,2.00%,$0.00 ,N
36,FEX Level Ages 45-80,3,'LVL3,1,121,0,0.00%,$0.00 ,N
36,FEX Level Ages 45-80,4,'LVL4,1,1,12,100.89%,$0.00 ,N
36,FEX Level Ages 45-80,4,'LVL4,1,13,13,100.89%,$0.00 ,N
36,FEX Level Ages 45-80,4,'LVL4,1,14,60,3.00%,$0.00 ,N
36,FEX Level Ages 45-80,4,'LVL4,1,61,120,2.00%,$0.00 ,N
36,FEX Level Ages 45-80,4,'LVL4,1,121,0,0.00%,$0.00 ,N
36,FEX Level Ages 45-80,5,'LVL5,1,1,12,104.46%,$0.00 ,N
36,FEX Level Ages 45-80,5,'LVL5,1,13,13,104.46%,$0.00 ,N
36,FEX Level Ages 45-80,5,'LVL5,1,14,60,3.00%,$0.00 ,N
36,FEX Level Ages 45-80,5,'LVL5,1,61,120,2.00%,$0.00 ,N
36,FEX Level Ages 45-80,5,'LVL5,1,121,0,0.00%,$0.00 ,N
36,FEX Level Ages 45-80,10,'Sales Leader,1,1,12,9.64%,$0.00 ,Y
36,FEX Level Ages 45-80,10,'Sales Leader,1,13,13,9.64%,$0.00 ,Y
36,FEX Level Ages 45-80,10,'Sales Leader,1,14,0,2.33%,$0.00 ,Y
36,FEX Level Ages 45-80,6,'STREET,1,1,0,0.00%,$0.00 ,N
36,FEX Level Ages 45-80,8,'SUBAGT2,1,1,0,0.00%,$0.00 ,N
