Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
10,Pacific Horizon IUL (Horizon) (Option C),5,'LVL5,1,1,12,19.50%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),5,'LVL5,1,13,60,12.50%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),5,'LVL5,1,61,120,0.00%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),5,'LVL5,1,121,0,0.00%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),9,'Agency,1,1,12,25.00%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),9,'Agency,1,13,60,25.00%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),9,'Agency,1,61,120,0.00%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),9,'Agency,1,121,0,0.00%,$0.00 ,N
10,Pacific Horizon IUL (Horizon) (Option C),10,'Sales Leader,1,1,12,1.67%,$0.00 ,Y
10,Pacific Horizon IUL (Horizon) (Option C),10,'Sales Leader,1,13,0,8.33%,$0.00 ,Y
