Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
4,Promise Term 10 (70),5,'LVL5,1,1,1,70.00%,$0.00 ,N
4,Promise Term 10 (70),5,'LVL5,1,2,2,1.04%,$0.00 ,N
4,Promise Term 10 (70),5,'LVL5,1,3,12,0.00%,$0.00 ,N
4,Promise Term 10 (70),5,'LVL5,1,13,0,0.00%,$0.00 ,N
4,Promise Term 10 (70),9,'Agency,1,1,1,70.00%,$0.00 ,N
4,Promise Term 10 (70),9,'Agency,1,2,2,20.00%,$0.00 ,N
4,Promise Term 10 (70),9,'Agency,1,3,12,0.00%,$0.00 ,N
4,Promise Term 10 (70),9,'Agency,1,13,0,0.00%,$0.00 ,N
4,Promise Term 10 (70),10,'Sales Leader,1,1,1,0.00%,$0.00 ,Y
4,Promise Term 10 (70),10,'Sales Leader,1,2,2,6.07%,$0.00 ,Y
4,Promise Term 10 (70),10,'Sales Leader,1,3,12,0.00%,$0.00 ,Y
4,Promise Term 10 (70),10,'Sales Leader,1,13,0,0.00%,$0.00 ,Y
