Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,1,'LVL1,1,1,12,0.00%,$27.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,1,'LVL1,1,13,72,0.00%,$24.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,1,'LVL1,1,73,0,0.00%,$10.29,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,2,'LVL2,1,1,12,0.00%,$28.50,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,2,'LVL2,1,13,72,0.00%,$24.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,2,'LVL2,1,73,0,0.00%,$10.29,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,3,'LVL3,1,1,12,0.00%,$30.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,3,'LVL3,1,13,72,0.00%,$24.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,3,'LVL3,1,73,0,0.00%,$10.29,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,4,'LVL4,1,1,12,0.00%,$31.50,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,4,'LVL4,1,13,72,0.00%,$24.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,4,'LVL4,1,73,0,0.00%,$10.29,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,5,'LVL5,1,1,12,0.00%,$32.25,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,5,'LVL5,1,13,72,0.00%,$24.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,5,'LVL5,1,73,0,0.00%,$10.29,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,8,'SUBAGT2,1,1,0,0.00%,$0.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,9,'Agency,1,1,12,0.00%,$36.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,9,'Agency,1,13,72,0.00%,$36.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,9,'Agency,1,73,0,0.00%,$24.00,N
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,10,'Sales Leader,1,1,12,0.00%,$1.82,Y
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,10,'Sales Leader,1,13,72,0.00%,$0.91,Y
1106,UHC AARP Med Supp 2026+ MA - plans MY MV,10,'Sales Leader,1,73,0,0.00%,$0.12,Y
