Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
1010,"Wellcare 2026 CA, NJ*",1,'LVL1,1,1,1,0.00%,$380.16 ,N
1010,"Wellcare 2026 CA, NJ*",1,'LVL1,1,2,12,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",1,'LVL1,1,13,0,0.00%,$31.68 ,N
1010,"Wellcare 2026 CA, NJ*",1,'SUBAGT3,1,1,0,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",1,'SUBAGT3,1,2,2,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",1,'SUBAGT3,1,13,0,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",2,'LVL2,1,1,1,0.00%,$380.16 ,N
1010,"Wellcare 2026 CA, NJ*",2,'LVL2,1,2,12,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",2,'LVL2,1,13,0,0.00%,$31.68 ,N
1010,"Wellcare 2026 CA, NJ*",3,'LVL3,1,1,1,0.00%,$380.16 ,N
1010,"Wellcare 2026 CA, NJ*",3,'LVL3,1,2,2,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",3,'LVL3,1,13,0,0.00%,$31.68 ,N
1010,"Wellcare 2026 CA, NJ*",4,'LVL4,1,1,1,0.00%,$380.16 ,N
1010,"Wellcare 2026 CA, NJ*",4,'LVL4,1,2,12,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",4,'LVL4,1,13,0,0.00%,$31.68 ,N
1010,"Wellcare 2026 CA, NJ*",5,'LVL5,1,1,1,0.00%,$380.16 ,N
1010,"Wellcare 2026 CA, NJ*",5,'LVL5,1,2,12,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",5,'LVL5,1,13,0,0.00%,$31.68 ,N
1010,"Wellcare 2026 CA, NJ*",6,'STREET,0,1,1,0.00%,$0.00 ,Y
1010,"Wellcare 2026 CA, NJ*",6,'STREET,0,2,2,0.00%,$0.00 ,Y
1010,"Wellcare 2026 CA, NJ*",6,'STREET,0,13,0,0.00%,$0.00 ,Y
1010,"Wellcare 2026 CA, NJ*",7,'SUBAGT1,1,1,1,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",7,'SUBAGT1,1,2,2,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",7,'SUBAGT1,1,13,0,0.00%,$15.84 ,N
1010,"Wellcare 2026 CA, NJ*",8,'SUBAGT2,0,1,1,0.00%,$0.00 ,Y
1010,"Wellcare 2026 CA, NJ*",8,'SUBAGT2,0,2,2,0.00%,$0.00 ,Y
1010,"Wellcare 2026 CA, NJ*",8,'SUBAGT2,0,13,0,0.00%,$0.00 ,Y
1010,"Wellcare 2026 CA, NJ*",9,'Agency,1,1,1,0.00%,$432.00 ,N
1010,"Wellcare 2026 CA, NJ*",9,'Agency,1,2,12,0.00%,$0.00 ,N
1010,"Wellcare 2026 CA, NJ*",9,'Agency,1,13,0,0.00%,$36.00 ,N
1010,"Wellcare 2026 CA, NJ*",10,'Sales Leader,1,1,1,0.00%,$404.24 ,N
1010,"Wellcare 2026 CA, NJ*",10,'Sales Leader,1,2,12,0.00%,$0.00 ,Y
1010,"Wellcare 2026 CA, NJ*",10,'Sales Leader,1,13,0,0.00%,$33.68 ,N
1010,"Wellcare 2026 CA, NJ*",16,'STREET0,1,1,1,0.00%,$432.00 ,N
1010,"Wellcare 2026 CA, NJ*",16,'STREET0,1,13,0,0.00%,$36.00 ,N
