Product ID,Product Description,Level,Contract,Adv. Mon,From Mon,To Mon,Rate (%),Rate ($),Fixed
1012,"Wellcare 2026 CT, PA, DC *",0,'SUBAGT7,1,1,1,0.00%,$68.82 ,N
1012,"Wellcare 2026 CT, PA, DC *",0,'SUBAGT7,1,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",0,'SUBAGT7,1,13,0,0.00%,$5.73 ,N
1012,"Wellcare 2026 CT, PA, DC *",1,'LVL1,0,1,1,0.00%,$344.08 ,N
1012,"Wellcare 2026 CT, PA, DC *",1,'LVL1,0,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",1,'LVL1,0,13,0,0.00%,$28.67 ,N
1012,"Wellcare 2026 CT, PA, DC *",1,'SUBAGT3,1,1,0,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",1,'SUBAGT3,1,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",1,'SUBAGT3,1,13,0,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",2,'LVL2,0,1,1,0.00%,$344.08 ,N
1012,"Wellcare 2026 CT, PA, DC *",2,'LVL2,0,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",2,'LVL2,0,13,0,0.00%,$28.67 ,N
1012,"Wellcare 2026 CT, PA, DC *",3,'LVL3,0,1,1,0.00%,$344.08 ,N
1012,"Wellcare 2026 CT, PA, DC *",3,'LVL3,0,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",3,'LVL3,0,13,0,0.00%,$28.67 ,N
1012,"Wellcare 2026 CT, PA, DC *",4,'LVL4,0,1,1,0.00%,$344.08 ,N
1012,"Wellcare 2026 CT, PA, DC *",4,'LVL4,0,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",4,'LVL4,0,13,0,0.00%,$28.67 ,N
1012,"Wellcare 2026 CT, PA, DC *",5,'LVL5,0,1,1,0.00%,$344.08 ,N
1012,"Wellcare 2026 CT, PA, DC *",5,'LVL5,0,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",5,'LVL5,0,13,0,0.00%,$28.67 ,N
1012,"Wellcare 2026 CT, PA, DC *",6,'STREET,0,1,1,0.00%,$0.00 ,Y
1012,"Wellcare 2026 CT, PA, DC *",6,'STREET,0,2,12,0.00%,$0.00 ,Y
1012,"Wellcare 2026 CT, PA, DC *",6,'STREET,0,13,0,0.00%,$0.00 ,Y
1012,"Wellcare 2026 CT, PA, DC *",7,'SUBAGT1,0,1,1,0.00%,$172.04 ,N
1012,"Wellcare 2026 CT, PA, DC *",7,'SUBAGT1,0,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",7,'SUBAGT1,0,13,0,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",8,'SUBAGT2,0,1,1,0.00%,$0.00 ,Y
1012,"Wellcare 2026 CT, PA, DC *",8,'SUBAGT2,0,2,12,0.00%,$0.00 ,Y
1012,"Wellcare 2026 CT, PA, DC *",8,'SUBAGT2,0,13,0,0.00%,$0.00 ,Y
1012,"Wellcare 2026 CT, PA, DC *",9,'AGENCY,1,1,1,0.00%,$391.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",9,'AGENCY,1,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",9,'AGENCY,1,13,0,0.00%,$32.58 ,N
1012,"Wellcare 2026 CT, PA, DC *",10,'Sales Leader,1,1,1,0.00%,$365.88 ,N
1012,"Wellcare 2026 CT, PA, DC *",10,'Sales Leader,1,2,12,0.00%,$0.00 ,Y
1012,"Wellcare 2026 CT, PA, DC *",10,'Sales Leader,1,13,0,0.00%,$30.49 ,N
1012,"Wellcare 2026 CT, PA, DC *",16,'STREET0,0,1,1,0.00%,$391.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",16,'STREET0,0,2,12,0.00%,$0.00 ,N
1012,"Wellcare 2026 CT, PA, DC *",16,'STREET0,0,13,0,0.00%,$32.58 ,N
